csd_refcode	database
AACMHX10	as541be_ASER
BIGRIT	as541be_ASER
BOLCUA01	as541be_ASER
BOLCUA11	as541be_ASER
FIDMIR	as541be_ASER
GEBYIV	as541be_ASER
JENMOE	as541be_ASER
MONZAR	as541be_ASER
PCYPCR	as541be_ASER
PCYPCR01	as541be_ASER
PCYPCR10	as541be_ASER
QOBPUT	as541be_ASER
RABNIT	as541be_ASER
REDJUF	as541be_ASER
TEJFUM	as541be_ASER
VEZSOI	as541be_ASER
VOXDIV	as541be_ASER
WIRNOC	as541be_ASER
WOPKER	as541be_ASER
WOPKOB	as541be_ASER
WOPKOB01	as541be_ASER
WOPLAO	as541be_ASER
WOPLAO01	as541be_ASER
WOTREC	as541be_ASER
XATPOX	as541be_ASER
XMPRYO	as541be_ASER
YUMNAX	as541be_ASER
